player,club,cost,pos,sel%,form,pts
De Ligt,Man Utd,5,DEF,1.30%,0,68
Martinez,Man Utd,5,DEF,0.30%,0,68
Hughes,Crystal Palace,5,MID,0.10%,0,67
Yates,Nott'm Forest,5,MID,0.10%,0,67
Nwaneri,Arsenal,5.5,MID,0.30%,0,66
J.Ramsey,Aston Villa,5.5,MID,0.60%,0,66
Darwin,Liverpool,6.5,FWD,0.50%,0,66
Lewis,Man City,5,DEF,0.70%,0,66
Vicario,Spurs,5,GKP,3.80%,0,66
Onana,Aston Villa,5,MID,1.60%,0,65
O'Brien,Everton,5,DEF,0.50%,0,65
Zirkzee,Man Utd,6,FWD,0.50%,0,64
Estupiñan,Brighton,4.5,DEF,0.10%,0,63
Van den Berg,Brentford,4.5,DEF,0.40%,0,62
Guedes,Wolves,5.5,MID,0.00%,0,62
Akanji,Man City,5.5,DEF,0.80%,0,61
André,Wolves,5.5,MID,0.10%,0,61
Gusto,Chelsea,5,DEF,1.80%,0,60
Nkunku,Chelsea,6,MID,0.20%,0,60
Adingra,Sunderland,5.5,MID,1.80%,0,60
Veltman,Brighton,4.5,DEF,0.30%,0,59
Enciso,Brighton,5.5,MID,0.10%,0,59
Adams,Bournemouth,5,MID,0.20%,0,58
Lerma,Crystal Palace,5,MID,0.10%,0,58
Maatsen,Aston Villa,4.5,DEF,0.90%,0,57
Kamara,Aston Villa,5,MID,0.20%,0,57
Smith,Bournemouth,4.5,DEF,0.20%,0,57
Sessegnon,Fulham,5.5,MID,0.10%,0,57
Lukić,Fulham,5,MID,0.10%,0,56
Pau,Aston Villa,4.5,DEF,0.50%,0,55
James,Chelsea,5.5,DEF,5.00%,0,54
Dominguez,Nott'm Forest,5,MID,0.00%,0,54
Todibo,West Ham,4.5,DEF,0.10%,0,54
Nketiah,Crystal Palace,5.5,FWD,0.70%,0,53
Berge,Fulham,5,MID,0.10%,0,53
Brooks,Bournemouth,5,MID,0.10%,0,52
Wieffer,Brighton,5,MID,0.10%,0,52
Jota,Nott'm Forest,5.5,MID,0.10%,0,52
S.Bueno,Wolves,4.5,DEF,0.10%,0,52
Andersen,Fulham,4.5,DEF,2.30%,0,51
Spence,Spurs,4.5,DEF,0.90%,0,51
Ward-Prowse,West Ham,6,MID,0.40%,0,51
White,Arsenal,5.5,DEF,0.80%,0,50
O'Riley,Brighton,5.5,MID,0.10%,0,50
Bissouma,Spurs,5.5,MID,0.10%,0,50
Munetsi,Wolves,5.5,MID,0.00%,0,50
Tete,Fulham,4.5,DEF,0.20%,0,49
Ugarte,Man Utd,5,MID,0.20%,0,49
Romero,Spurs,5,DEF,2.70%,0,49
Bentancur,Spurs,5.5,MID,0.10%,0,49
Keane,Everton,4.5,DEF,0.30%,0,48
Maguire,Man Utd,4.5,DEF,0.70%,0,48
Casemiro,Man Utd,5.5,MID,0.20%,0,48
Mings,Aston Villa,4.5,DEF,0.70%,0,47
Bailey,Aston Villa,5.5,MID,0.50%,0,47
Pinnock,Brentford,4.5,DEF,0.30%,0,47
Castagne,Fulham,4.5,DEF,0.20%,0,46
Willock,Newcastle,5,MID,0.10%,0,46
Kelleher,Brentford,4.5,GKP,16.50%,0,45
Gruda,Brighton,5.5,MID,0.10%,0,45
Kamada,Crystal Palace,5,MID,0.00%,0,45
Gray,Spurs,5,MID,0.20%,0,45
Mavropanos,West Ham,4.5,DEF,0.10%,0,45
Agbadou,Wolves,4.5,DEF,0.20%,0,45
Barkley,Aston Villa,5,MID,0.20%,0,44
Dúbravka,Burnley,4,GKP,29.80%,0,44
Dunk,Brighton,4.5,DEF,1.20%,0,44
Alcaraz,Everton,5.5,MID,0.20%,0,44
Bergvall,Spurs,5.5,MID,0.20%,0,44
Kiwior,Arsenal,5.5,DEF,0.10%,0,43
Yarmoliuk,Brentford,5,MID,0.10%,0,43
Tsimikas,Liverpool,5,DEF,0.10%,0,43
Udogie,Spurs,4.5,DEF,2.30%,0,43
G.Jesus,Arsenal,6.5,FWD,0.00%,0,42
Lamptey,Brighton,4.5,DEF,0.40%,0,42
Wharton,Crystal Palace,5,MID,0.60%,0,42
Garner,Everton,5,MID,0.10%,0,42
Mainoo,Man Utd,5,MID,0.80%,0,42
Tel,Spurs,6.5,MID,0.10%,0,42
Füllkrug,West Ham,6,FWD,3.40%,0,42
R.Gomes,Wolves,4.5,DEF,0.10%,0,42
Bradley,Liverpool,5,DEF,0.30%,0,41
Zinchenko,Arsenal,5,DEF,0.30%,0,40
Álvarez,West Ham,5,MID,0.20%,0,40
Calafiori,Arsenal,5.5,DEF,0.70%,0,39
Ajer,Brentford,4.5,DEF,0.20%,0,39
Webster,Brighton,4.5,DEF,0.00%,0,39
Jensen,Brentford,5,MID,0.10%,0,38
Grealish,Everton,6.5,MID,3.00%,0,38
Lewis-Skelly,Arsenal,5.5,DEF,4.50%,0,37
Hee Chan,Wolves,6,MID,0.20%,0,37
Roerslev,Brentford,4.5,DEF,0.10%,0,36
Morato,Nott'm Forest,4.5,DEF,0.10%,0,36
G.Rodriguez,West Ham,5,MID,0.10%,0,36
Carvalho,Brentford,5,MID,0.30%,0,35
Ortega Moreno,Man City,5,GKP,0.30%,0,35
Richarlison,Spurs,6.5,FWD,1.40%,0,35
Alex Moreno,Aston Villa,4,DEF,10.40%,0,34
Malen,Aston Villa,5.5,MID,2.50%,0,34
Devenny,Crystal Palace,4.5,MID,2.00%,0,34
Longstaff,Leeds,5,MID,0.20%,0,34
Odobert,Spurs,5.5,MID,0.00%,0,34
Cairney,Fulham,5,MID,0.00%,0,33
Elliott,Liverpool,5.5,MID,0.20%,0,33
Summerville,West Ham,5.5,MID,0.00%,0,33
Enes Ünal,Bournemouth,5.5,FWD,0.00%,0,32
